,HEIGHT,WIDTH,NUM_TRAPS,NUM_GOALS,PATH_NOISE_PROB,BLIND_SWITCH_PROB,SARSA,MCCONTROL,QLEARNING,DQLEARNING
0,10,29,25,5,0.142431,0.074744,0.996000,0.996000,0.996000,0.996000
1,26,10,19,2,0.304969,0.005359,0.993000,0.991000,0.993000,-2.000000
2,31,21,21,5,0.413922,0.158803,0.995000,0.995000,0.995000,0.995000
3,25,15,10,2,0.259141,0.002151,-2.000000,-1.002000,-2.000000,-2.000000
4,31,14,23,1,0.336851,0.049098,-2.000000,-2.000000,-2.000000,-2.000000
5,13,10,31,2,0.248030,0.018906,0.998000,0.998000,0.998000,0.998000
6,23,11,14,3,0.161591,0.166437,-2.000000,-1.002000,-2.000000,-2.000000
7,28,27,17,4,0.225850,0.177281,0.996000,-2.000000,0.996000,0.996000
8,14,16,31,2,0.224929,0.114255,-2.000000,0.994000,-2.000000,-2.000000
9,30,29,21,3,0.097225,0.062803,-2.000000,-1.005000,-2.000000,-2.000000
10,28,17,12,3,0.073648,0.133991,0.998000,0.998000,0.998000,0.998000
11,24,28,8,5,0.158416,0.037002,-2.000000,-2.000000,-2.000000,-2.000000
12,29,24,18,3,0.010246,0.160659,-2.000000,-2.000000,-2.000000,-2.000000
13,19,19,12,2,0.275787,0.172276,0.994000,0.992000,0.994000,-2.000000
14,11,17,8,3,0.356014,0.089812,1.000000,1.000000,1.000000,1.000000
15,15,18,17,1,0.162800,0.190155,0.996000,0.994000,0.996000,0.996000
16,25,16,27,3,0.077555,0.199484,-2.000000,-2.000000,-2.000000,-2.000000
17,13,12,11,4,0.311950,0.194511,0.998000,-2.000000,0.998000,0.998000
18,20,27,29,5,0.314240,0.247528,-2.000000,-2.000000,-2.000000,-2.000000
19,30,10,20,5,0.076319,0.188648,0.998000,0.998000,0.998000,0.998000
20,10,25,25,3,0.326209,0.180556,-2.000000,-1.000000,-2.000000,-2.000000
21,28,13,15,5,0.204921,0.161339,0.997000,0.997000,0.997000,0.997000
